id,created_at,Animal,Lesson,S_Length,Completed,Track
241,2023-09-04 13:47:16.628215+00,Phone reat,1,0,,0
245,2023-09-05 07:12:14.953262+00,Test from the onlines,,,,
275,2023-09-10 18:39:37.134483+00,Raev,0,624.565489,,0
273,2023-09-10 17:02:49.003119+00,Raev,2,675.998855,TRUE,1
253,2023-09-07 17:41:59.532775+00,Egern,1,206.227598,,2
220,2023-08-28 13:26:14.221512+00,,1,684.3809353,TRUE,0
254,2023-09-07 17:46:42.414576+00,Egern,,,,
222,2023-08-29 09:55:56.592133+00,Reje,0,648.7896036,TRUE,1
223,2023-08-29 13:33:59.922382+00,,,,,
246,2023-09-05 07:13:59.340343+00,Test from the onlines,0,8.719008,,0
247,2023-09-06 20:20:01.241868+00,Baever,,,,
248,2023-09-06 20:20:31.411881+00,Baever,0,691.04846,TRUE,0
293,2023-09-13 13:08:32.765938+00,Kanin,1,709.191359,TRUE,1
262,2023-09-08 11:06:27.640243+00,Laks,0,0,,2
274,2023-09-10 17:30:24.15603+00,Raev,1,806.346851,,1
242,2023-09-04 14:06:55.943498+00,,0,60.29147449,,2
243,2023-09-04 14:13:24.532278+00,,,,,
297,2023-09-14 20:18:49.134742+00,Baever,,,,
276,2023-09-11 07:42:58.33268+00,Raev,3,794.686442,TRUE,1
249,2023-09-06 20:33:56.299642+00,Baever,0,648.537597,TRUE,0
250,2023-09-07 14:47:55.773472+00,Reje,,,,
277,2023-09-11 11:39:59.636008+00,Kanin,,,,
251,2023-09-07 14:48:11.962594+00,Reje,1,651.1993013,TRUE,2
252,2023-09-07 17:41:31.517557+00,Egern,,,,
265,2023-09-10 12:29:47.76747+00,Egern,2,282.765257,,2
282,2023-09-11 12:14:31.924699+00,Kanin,0,839.648284,TRUE,1
283,2023-09-11 20:02:39.399716+00,Baever,,,,
284,2023-09-11 20:02:52.512179+00,Baever,2,803.155936,TRUE,0
285,2023-09-12 15:41:28.400591+00,Reje,,,,
303,2023-09-15 09:02:20.383612+00,Laks,,,,
272,2023-09-10 14:32:15.452041+00,Ged,0,537.8228719,,1
281,2023-09-11 11:59:11.887164+00,Kanin,3,674.635673,TRUE,0
279,2023-09-11 11:48:03.29193+00,Egern,,,,
298,2023-09-14 20:19:08.781855+00,Baever,3,12.182728,,0
299,2023-09-14 20:20:20.980836+00,Baever,,,,
280,2023-09-11 11:48:13.834468+00,Egern,0,679.603443,TRUE,2
286,2023-09-12 15:41:47.21806+00,Reje,2,646.7157943,TRUE,2
290,2023-09-13 10:39:20.013136+00,Ged,0,645.9011485,TRUE,1
287,2023-09-12 15:58:06.635993+00,Laks,,,,
300,2023-09-14 20:20:32.827573+00,Baever,3,674.748979,TRUE,0
301,2023-09-14 20:35:34.443554+00,Baever,0,623.566583,,0
308,2023-09-17 07:33:38.568128+00,Egern,,,,
304,2023-09-15 09:02:37.980356+00,Laks,3,683.286548,TRUE,2
309,2023-09-17 07:34:03.25302+00,Egern,0,0,,3
306,2023-09-16 07:30:13.039389+00,Baever,0,836.540957,TRUE,1
307,2023-09-16 08:16:59.364555+00,,,,,
310,2023-09-17 09:08:22.372247+00,Raev,,,,
311,2023-09-17 09:08:34.067447+00,Raev,,,,
312,2023-09-17 09:08:35.255709+00,Raev,,,,
313,2023-09-17 09:08:36.978649+00,Raev,,,,
314,2023-09-17 12:26:01.457349+00,Kanin,,,,
315,2023-09-17 12:26:16.869779+00,Kanin,2,797.810173,TRUE,1
316,2023-09-17 15:58:20.683806+00,Jaguar,,,,
317,2023-09-17 16:00:40.830749+00,Jaguar,,,,
318,2023-09-17 16:00:41.589882+00,Jaguar,,,,
319,2023-09-17 16:01:15.805619+00,Jaguar,0,194.7123703,,0
423,2023-09-23 18:59:34.92071+00,Baever,2,737.123249,TRUE,2
417,2023-09-23 05:39:04.360567+00,Egern,0,719.969499,TRUE,3
404,2023-09-22 16:10:20.29075+00,Jaguar,0,30.56509064,,3
406,2023-09-22 16:11:20.919703+00,Jaguar,0,0,,0
396,2023-09-22 15:22:44.341738+00,Egern,,,,
323,2023-09-17 16:45:41.16626+00,Jaguar,0,121.4657025,,1
336,2023-09-18 15:48:41.67273+00,Ged,0,646.7914467,TRUE,2
337,2023-09-18 18:28:42.072356+00,Egern,,,,
338,2023-09-18 19:00:26.702885+00,,,,,
327,2023-09-17 19:49:37.725334+00,Baever,1,713.044687,TRUE,1
328,2023-09-18 00:08:55.392813+00,,,,,
321,2023-09-17 16:05:49.065716+00,Egern,,,,
329,2023-09-18 07:12:42.5106+00,,,,,
330,2023-09-18 07:49:09.870778+00,Reje,,,,
331,2023-09-18 11:54:34.585607+00,,,,,
332,2023-09-18 13:50:28.882496+00,,,,,
333,2023-09-18 13:50:49.71637+00,,,,,
334,2023-09-18 15:04:04.323299+00,,,,,
335,2023-09-18 15:48:11.800003+00,Ged,,,,
368,2023-09-21 11:06:04.41724+00,Jaguar,0,681.2265832,TRUE,2
370,2023-09-21 14:19:16.611015+00,Reje,,,,
322,2023-09-17 16:06:13.627695+00,Egern,0,0,,3
339,2023-09-18 19:46:34.432423+00,Baever,2,712.7525,TRUE,1
340,2023-09-19 08:14:59.986003+00,,,,,
341,2023-09-19 13:14:56.889375+00,,,,,
342,2023-09-19 14:15:34.585181+00,Baever,,,,
324,2023-09-17 16:49:34.775261+00,Jaguar,0,79.44180714,,2
325,2023-09-17 17:16:50.108673+00,,,,,
326,2023-09-17 19:49:04.205571+00,Baever,,,,
371,2023-09-21 16:59:17.683527+00,,,,,
381,2023-09-22 07:46:52.906743+00,Jaguar,0,183.8185525,,2
352,2023-09-19 20:59:44.933003+00,Raev,0,219.552144,,0
353,2023-09-20 07:33:22.961929+00,,,,,
354,2023-09-20 07:43:44.597869+00,Egern,,,,
347,2023-09-19 18:10:05.390788+00,Ged,3,649.171111,TRUE,1
349,2023-09-19 18:26:03.881526+00,Ged,,,,
350,2023-09-19 18:40:01.481903+00,Ged,,,,
355,2023-09-20 07:44:13.844064+00,Egern,,,,
356,2023-09-20 07:44:14.006438+00,Egern,,,,
357,2023-09-20 11:24:51.387437+00,,,,,
358,2023-09-20 14:32:08.078028+00,Baever,,,,
388,2023-09-22 11:58:00.33134+00,Egern,0,0,,3
389,2023-09-22 15:08:32.718306+00,The harbinger,,,,
390,2023-09-22 15:10:22.914557+00,Laks,,,,
367,2023-09-21 09:29:07.136395+00,Jaguar,0,796.4099658,TRUE,1
345,2023-09-19 16:19:41.895935+00,Raev,1,641.04846,TRUE,2
346,2023-09-19 18:09:51.204279+00,Ged,,,,
343,2023-09-19 14:15:48.121191+00,Baever,3,796.332791,TRUE,1
344,2023-09-19 15:23:51.199714+00,,,,,
320,2023-09-17 16:04:38.18145+00,Jaguar,1,673.8616373,TRUE,0
391,2023-09-22 15:14:03.558308+00,The harbinger,,,,
